Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6812503'],"Venue Preparation,Educational Posters,Live Feeds,Accessories for live feeds,Transporation",[5],Ministry of Defence Department of Military Affairs,2025-11-01T21:04:52Z,2025-11-01T21:04:52Z,No
['GEM/2025/B/6848565'],"SpeedyBee F405 Mini BLS 35A 20 x 20 Stack,Bonka 14.8 1500mAh 75C 4S 150C Burst Lithium Polymer Batt",[20],Ministry of Defence Department of Military Affairs,2025-11-02T09:52:32Z,2025-11-02T09:52:32Z,No
['GEM/2025/B/6852234'],Gabion box of Zn Al alloy plus Polymer coated and size 2x1x1 mtr with 10x12 Mesh Type with filter m,[2306],Ministry of Defence Department of Defence,2025-11-03T18:43:31Z,2025-11-03T18:43:31Z,No
['GEM/2025/B/6784731'],"Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Others,Manpower Outsourci",[10],Ministry of Defence Department of Military Affairs,2025-11-03T18:49:35Z,2025-11-03T18:49:35Z,No
['GEM/2025/B/6784500'],"Manpower Outsourcing Services - Minimum wage - Skilled; High School; Others,Manpower Outsourcing Se",[9],Ministry of Defence Department of Military Affairs,2025-11-03T18:58:03Z,2025-11-03T18:58:03Z,No
['GEM/2025/B/6782848'],"Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Manpower Outsourcing",[12],Ministry of Defence Department of Military Affairs,2025-11-03T18:54:39Z,2025-11-03T18:54:39Z,No
['GEM/2025/B/6854139'],"Valve Brake Pneumatic,Valve Brake Pneumatic,Wheel Cyl Assy,Hose Clamp 12mm,Hose Clamp 16mm,Straight",[33],Ministry of Defence Department of Military Affairs,2025-11-04T12:06:50Z,2025-11-04T12:06:50Z,No
['GEM/2025/B/6811193'],"BOQ 1,BOQ 2,BOQ 3,BOQ 4,BOQ 5,BOQ 6,BOQ 7,BOQ 8,BOQ 9,BOQ 10,BOQ 11,BOQ 12,BOQ 13,BOQ 14,BOQ 15,BOQ",[8506],Ministry of Defence Department of Defence,2025-11-06T18:21:09Z,2025-11-06T18:21:09Z,No
['GEM/2025/B/6768470'],"M4 Chip Processor Laptop,Android Snapdragon 8 Elite Processor Mobile Phone",[4],Ministry of Defence Department of Military Affairs,2025-11-06T18:36:51Z,2025-11-06T18:36:51Z,No
['GEM/2025/B/6807637'],"Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Admin,Manpower Outsourcing",[4],Ministry of Power NORTH EASTERN ELECTRIC POWER Corporation Limited,2025-10-18T15:55:21Z,2025-10-18T15:55:21Z,No
['GEM/2025/B/6802384'],"Manpower Outsourcing Services - Minimum wage - Skilled; High School; Non-IT Technical,Manpower Outs",[2],Ministry of Power NORTH EASTERN ELECTRIC POWER Corporation Limited,2025-10-18T11:43:42Z,2025-10-18T11:43:42Z,No
['GEM/2025/B/6832666'],"BOQ 1,BOQ 2,BOQ 3,BOQ 4,BOQ 5",[30],Ministry of Defence Department of Defence,2025-11-03T16:08:01Z,2025-11-03T16:08:01Z,No
['GEM/2025/B/6850268'],Battery Secondary Lead Acid MT Type (Defence),[4],Ministry of Power NORTH EASTERN ELECTRIC POWER Corporation Limited,2025-11-03T13:04:14Z,2025-11-03T13:04:14Z,No
['GEM/2025/B/6841177'],"Pinewood scantling of size 4 inch x3 inch x12 ft as per IS 2366,Pinewood scantling of size 4 inch x",[56376],Ministry of Defence Department of Defence,2025-11-03T18:07:17Z,2025-11-03T18:07:17Z,No
['GEM/2025/B/6852234'],Gabion box of Zn Al alloy plus Polymer coated and size 2x1x1 mtr with 10x12 Mesh Type with filter m,[2306],Ministry of Defence Department of Defence,2025-11-03T18:43:31Z,2025-11-03T18:43:31Z,No
['GEM/2025/B/6784731'],"Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Others,Manpower Outsourci",[10],Ministry of Defence Department of Military Affairs,2025-11-03T18:49:35Z,2025-11-03T18:49:35Z,No
['GEM/2025/B/6784500'],"Manpower Outsourcing Services - Minimum wage - Skilled; High School; Others,Manpower Outsourcing Se",[9],Ministry of Defence Department of Military Affairs,2025-11-03T18:58:03Z,2025-11-03T18:58:03Z,No
