Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6642082'],"Analogue Compression Testing Machine,Moulds C I of 70.6 mm cube,C I Moulds of 70.6 mm cube,Cube 70.",[19],"Ministry of Ports, Shipping and Waterways NA",2025-10-22T18:39:48Z,2025-10-22T18:39:48Z,No
['GEM/2025/B/6634796'],exploder cover with o rings,[50],Ministry of Defence Department of Military Affairs,2025-10-22T12:05:29Z,2025-10-22T12:05:29Z,No
['GEM/2025/B/6629535'],PROCUREMENT OF MULTI DETECTOR TESTER,[1],Ministry of Defence Department of Military Affairs,2025-10-21T17:58:56Z,2025-10-21T17:58:56Z,No
['GEM/2025/B/6622116'],PROCUREMENT OF SPECTRONIC BREAKER TYPE S-100,[2],Ministry of Defence Department of Military Affairs,2025-10-21T17:53:41Z,2025-10-21T17:53:41Z,No
['GEM/2025/B/6602251'],"3033000, WASHER, RND, FLAT, SS316, 11MM, 40MM, 3MM",[2000],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-22T10:30:44Z,2025-10-22T10:30:44Z,No
['GEM/2025/B/6712104'],"CAR FLAG COMMODORE,CAR FLAG METAL FRAME,STAR BOX STAINLESS STEEL,STAR BOX COVERS (REXINE)",[23],Ministry of Defence Department of Military Affairs,2025-10-22T10:03:04Z,2025-10-22T10:03:04Z,No
['GEM/2025/B/6711334'],Procurement of DEIF Controller Unit (GPU-3 Marine),[1],Ministry of Defence Department of Defence,2025-10-22T15:24:16Z,2025-10-22T15:24:16Z,No
['GEM/2025/B/6699644'],"Beagle Bone Black REV C,Zolertia Firefly,Raspberry Pi 5 Model 8GB Kit,Raspberry Pi 5 4GB Starter Ki",[83],Ministry of Education Department of Higher Education,2025-10-21T16:52:52Z,2025-10-21T16:52:52Z,No
['GEM/2025/B/6692735'],"PROCUREMENT OF SEAL KIT,VALVE KIT",[6],Ministry of Defence Department of Military Affairs,2025-10-21T17:07:28Z,2025-10-21T17:07:28Z,No
['GEM/2025/B/6690750'],"HYDRAULIC CONTROL VALVE OF MUZZLE DOOR (SR6001D-577-03-33-05),HYDRAULIC MACHINE (SR6001D-577-35-394",[17],Ministry of Defence Department of Military Affairs,2025-10-23T14:55:39Z,2025-10-23T14:55:39Z,No
