Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6822086'],Custom Bid for Services - SWADESHI KHADI GRAMODYOG MAHOTSAV 2025,[1],Ministry of Micro Small and Medium Enterprises Ministry of Micro Small and Medium Enterprises,2025-10-24T18:04:47Z,2025-10-24T18:04:47Z,No
['GEM/2025/B/6821631'],Reels Cable (Steel) 406.5mm flange dia to IR ISM3973 inside traverse 127.00 mm OD care (CAT No. y-3,[11827],Ministry of Defence Department of Defence Production,2025-10-24T17:36:43Z,2025-10-24T17:36:43Z,No
['GEM/2025/B/6766500'],Custom Bid for Services - home collection of blood sample and home delivery of drugs,[1],Ministry of Labour and Employment NA,2025-10-25T09:49:01Z,2025-10-25T09:49:01Z,No
['GEM/2025/B/6765556'],"Paper-based Printing Services - Printing with Material; File covers; Offset,Paper-based Printing Se",[25000],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-25T11:21:30Z,2025-10-25T11:21:30Z,No
['GEM/2025/B/6798121'],Universal Testing Machine,[1],Education Department Chandigarh,2025-10-17T22:14:42Z,2025-10-17T22:14:42Z,No
['GEM/2025/B/6796606'],Custom Bid for Services - Hiring of 18 no tractor trolleys - Trip basis,[1],"Municipal Corporation, Chandigarh",2025-10-21T12:11:38Z,2025-10-21T12:11:38Z,No
['GEM/2025/B/6609691'],ULTRASONIC FLAW DETECTOR,[1],Ministry of Defence Department of Military Affairs,2025-10-24T10:12:11Z,2025-10-24T10:12:11Z,No
['GEM/2025/B/6826501'],TONER FOR LEXMARK PRINTER MODEL MS-321,[50],Ministry of Defence Department of Defence Production,2025-10-27T11:44:27Z,2025-10-27T11:44:27Z,No
['GEM/2025/B/6823908'],COPPER WIRE ROD 7.9 mm / 8.00 mm,[31126],Ministry of Defence Department of Defence Production,2025-10-27T14:47:26Z,2025-10-27T14:47:26Z,No
['GEM/2025/B/6828391'],Queue Management System,[608],Ministry of Finance Department of Financial Services,2025-10-27T16:49:37Z,2025-10-27T16:49:37Z,No
['GEM/2025/B/6828054'],Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,[2],Ministry of Education Department of School Education and Literacy,2025-10-27T17:27:47Z,2025-10-27T17:27:47Z,No
['GEM/2025/B/6827989'],Manpower Outsourcing Services - Minimum wage - Highly-Skilled; ITI; Non-IT Technical,[8],Education Department Chandigarh,2025-10-28T10:48:09Z,2025-10-28T10:48:09Z,No
['GEM/2025/B/6827785'],"Hiring of Earth Moving Equipments, Material Handling Equipments and Cranes (per Hour basis) - As Pe",[5],"Municipal Corporation, Chandigarh",2025-10-27T14:38:46Z,2025-10-27T14:38:46Z,No
['GEM/2025/B/6702648'],"IP 5MP Outdoor 8mm fixed lens IR cameras STQC complied,IP 5MP Outdoor 3.6mm fixed lens IR cameras S",[59291],Ministry of Defence Department of Military Affairs,2025-11-05T12:07:55Z,2025-11-05T12:07:55Z,No
['GEM/2025/B/6856793'],Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,[62],Engineering Department Chandigarh,2025-11-04T18:24:16Z,2025-11-04T18:24:16Z,No
['GEM/2025/B/6856372'],Facility Management Service- Manpower based (Version 2) - Commercial; Housekeeping; Unskilled,[5],Ministry of Finance Department of Financial Services,2025-11-04T17:30:48Z,2025-11-04T17:30:48Z,No
['GEM/2025/B/6815647'],Overbed Tables,[200],Education Department Chandigarh,2025-11-04T16:52:33Z,2025-11-04T16:52:33Z,No
['GEM/2025/B/6699479'],Intravenous Cannula (IV Cannula),[60000],Education Department Chandigarh,2025-11-04T16:56:35Z,2025-11-04T16:56:35Z,No
['GEM/2025/B/6834218'],Manpower Outsourcing Services - Fixed Remuneration - Others; Peon; Matric Pass of recognized Board ,[2],Engineering Department Chandigarh,2025-10-29T11:25:11Z,2025-10-29T11:25:11Z,No
['GEM/2025/B/6834078'],Manpower Outsourcing Services - Fixed Remuneration - Admin; Clerk; Graduate,[5],Education Department Chandigarh,2025-10-29T11:22:15Z,2025-10-29T11:22:15Z,No
['GEM/2025/B/6769819'],"Surgical Tourniquet System,Tourniquet Stand,Carrying case for tourniquet and cuffs,Positive locking",[114],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-29T11:16:24Z,2025-10-29T11:16:24Z,No
['GEM/2025/B/6693780'],"Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Non-IT Technical,Manpower ",[16],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-25T11:35:36Z,2025-10-25T11:35:36Z,No
['GEM/2025/B/6829163'],Manpower Outsourcing Services - Minimum wage - Unskilled; AS PER RFP; Others,[1],Ministry of Finance Department of Financial Services,2025-10-28T09:30:00Z,2025-10-28T09:30:00Z,No
['GEM/2025/B/6833523'],Warehousing Service - Per MT Basis - Foodgrain Storage Jagadhari 8320 MT; As per MTF; Godown withou,[16640],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-28T21:09:30Z,2025-10-28T21:09:30Z,No
['GEM/2025/B/6833503'],Warehousing Service - Per MT Basis - Foodgrain Storage Mustafabad 30000 MT; As per MTF; Godown with,[60000],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-28T20:58:10Z,2025-10-28T20:58:10Z,No
['GEM/2025/B/6833454'],Warehousing Service - Per MT Basis - Foodgrain Storage Ambala 105000 MT; As per MTF; Godown without,[210000],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-28T20:25:39Z,2025-10-28T20:25:39Z,No
['GEM/2025/B/6833429'],Warehousing Service - Per MT Basis - Foodgrain Storage Yamunanagar 25000 MT; As Per MTF; Godown wit,[50000],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-28T20:11:37Z,2025-10-28T20:11:37Z,No
['GEM/2025/B/6833156'],"PAINT RED,PAINT OLIVE GREEN",[180],Ministry of Defence Department of Military Affairs,2025-10-28T18:31:06Z,2025-10-28T18:31:06Z,No
['GEM/2025/B/6831549'],"Digital Medical X - Ray Films (V2),Digital Medical X - Ray Films (V2)",[36400],Education Department Chandigarh,2025-11-06T11:57:05Z,2025-11-06T11:57:05Z,No
['GEM/2025/B/6855995'],"ELEMENT FUEL FILTER,ELEMENT OIL BY PASS FILTER,ELEMENT LUB OIL FILTER",[16],Ministry of Defence Department of Military Affairs,2025-11-06T09:47:34Z,2025-11-06T09:47:34Z,No
