Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6826587,VRLA SMF BATTERY WITH BUY BACK FOR PR NO: 20037434,30,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-27 12:52:20Z,2025-10-27 12:52:20Z,No
GEM/2025/B/6801457,"MOT, VVVF, BRAKE SQIM, 415VAC, 160L, 6P, 11kW",1,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-27 12:34:07Z,2025-10-27 12:34:07Z,No
GEM/2025/B/6801456,"CONDUIT, MET FLEX, GALV STL BRAIDED, 1/2in,CONDUIT, MET FLEX, GALV STL BRAIDED, 3/4in,CONDUIT, MET ",320,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-27 14:56:25Z,2025-10-27 14:56:25Z,No
GEM/2025/B/6782475,"2017725; ENCODER, INC, 10-30Vdc, 12 VDC, HTL, 1000PPR,2114747; ENCODER, INC, 10-30Vdc, 12 VDC, HTL",40,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-27 11:40:14Z,2025-10-27 11:40:14Z,No
GEM/2025/B/6827789,Pest and Animal Control Service - Maintenance Contract; 1 month; General Pests/Insects Control,35089,PMO Department of Atomic Energy,2025-10-27 16:05:45Z,2025-10-27 16:05:45Z,No
GEM/2025/B/6787250,"CBL, AR, 1100V, AL, PVC, 4C, 50MM²",5000,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-27 15:20:36Z,2025-10-27 15:20:36Z,No
GEM/2025/B/6829113,"Cleaning and levelling of transformer yard,Providing Transformer fencing,danger boards,FIRE Bucket,",708,"Ministry of Ports, Shipping and Waterways NA",2025-10-28 15:48:27Z,2025-10-28 15:48:27Z,No
GEM/2025/B/6830376,"INDUSTRIAL SAFETY HELMET WHITE COLOUR,INDUSTRIAL SAFETY HELMET YELLOW COLOUR,SAFETY HELMET YELLOW C",1447,"Ministry of Ports, Shipping and Waterways NA",2025-10-28 17:19:59Z,2025-10-28 17:19:59Z,No
GEM/2025/B/6794195,"Calibration Services - Mechanical, Electrical, Thermal, Fluid flow, Optical calibration, Radiologic",1,Ministry of Defence Department of Military Affairs,2025-10-29 11:40:31Z,2025-10-29 11:40:31Z,No
GEM/2025/B/6817518,"PARTICULATE RESPIRATOR MASK,PIPETTE TIP FOR VARIABLE PIPETTE,PIPETTE TIP FOR VARIABLE PIPETTE,NITRI",689,Ministry of Defence Department of Military Affairs,2025-10-27 11:04:23Z,2025-10-27 11:04:23Z,No
GEM/2025/B/6817215,4.7mtr General purpose Inflatable Craft (GPIC) without OBM,1,Ministry of Defence Department of Military Affairs,2025-10-28 16:49:30Z,2025-10-28 16:49:30Z,No
