Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6676791,"ELECTRODE 680 2 5MM,ELECTRODE 680 3 2MM 3 15MM,ROD WELDING BRASS 3 15MM 57 63 OF COPPER SPEC IS 127",4370,Ministry of Defence Department of Military Affairs,2025-10-21T10:18:38Z,2025-10-21T10:18:38Z,No
GEM/2025/B/6675311,"EP3030B -INST-1571 MOUNTING PLATES AND HARDWARE SET FOR INSTALLATION,EP3030B-3169090 PREAMP PCB ASS",1350,Ministry of Defence Department of Military Affairs,2025-10-23T11:37:34Z,2025-10-23T11:37:34Z,No
GEM/2025/B/6659194,"Calibration Services - Mechanical; Dimension, Mass and Volume, Pressure and Vacuum, Force, Hardness",1,Ministry of Home Affairs NA,2025-10-21T10:04:32Z,2025-10-21T10:04:32Z,No
GEM/2025/B/6825663,"BULKHEAD MOUNTING CABIN TYPE LOUD SPEAKER,DECORATIVE FLUSH TYPE FLOUR LIGHT FITTINGS (1X36W) , 230V",24,Ministry of Defence Department of Defence,2025-10-28T18:37:41Z,2025-10-28T18:37:41Z,No
GEM/2025/B/6825267,"Cloth Kersy Green,Nail Steel Wired Rd,Nail Steel Wired Rd sheuer,Powder cleaning for bath,Driver Ca",398,Ministry of Defence Department of Military Affairs,2025-10-26T10:24:40Z,2025-10-26T10:24:40Z,No
GEM/2025/B/6823860,"EB1005V-AO3630KBC 4 A IMPELLER INTERMEDIATE PART IV,EB1005V-AO3630KBC 7 NUT 51- NUT SHAFT END W 2,E",85,Ministry of Defence Department of Military Affairs,2025-10-28T15:05:05Z,2025-10-28T15:05:05Z,No
GEM/2025/B/6822350,"FLOOD SENSOR, 24C0406243,AHUJA SPEAKER, 15 W",7,Ministry of Defence Department of Defence,2025-10-28T18:31:48Z,2025-10-28T18:31:48Z,No
GEM/2025/B/6746822,Manikins for CPR with Airway Training,5,Health Department Andaman & Nicobar,2025-11-07T09:59:58Z,2025-11-07T09:59:58Z,No
GEM/2025/B/6746298,Manikins for CPR with Airway Training,5,Health Department Andaman & Nicobar,2025-11-07T09:52:00Z,2025-11-07T09:52:00Z,No
GEM/2025/B/6748267,HEATING ELEMENT 14KW/36KW 415V EECCA021-AF-2,5,Ministry of Defence Department of Defence,2025-10-08T15:23:57Z,2025-10-08T15:23:57Z,No
GEM/2025/B/6848436,"Diya curtain light,Gesto Diwali Diya Neon Sign strip light LED,Gesto SUbh Diwali LED Board,Audio Mi",45,Ministry of Defence Department of Military Affairs,2025-11-01T20:34:15Z,2025-11-01T20:34:15Z,No
GEM/2025/B/6848580,"2789-0714-0106,NK0001845,NK001742,NK000082,NK001915,NK000084,NK001899",13,Ministry of Defence Department of Military Affairs,2025-11-02T10:06:31Z,2025-11-02T10:06:31Z,No
GEM/2025/B/6848232,"2573-2910-0154,2573-4015-0123,2786-1599-9929,2786-1599-9966,L014-0200-0041",13,Ministry of Defence Department of Military Affairs,2025-11-02T09:43:28Z,2025-11-02T09:43:28Z,No
GEM/2025/B/6852409,Anti Fatigue Mat,200,Ministry of Defence Department of Military Affairs,2025-11-03T18:34:54Z,2025-11-03T18:34:54Z,No
GEM/2025/B/6784568,High End Laptop - Notebook,1,Education Department Andaman & Nicobar,2025-11-04T12:27:17Z,2025-11-04T12:27:17Z,No
GEM/2025/B/6850050,"Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - Commercial; Vehicl",1,"Electricity Department, Andaman & Nicobar",2025-11-04T11:07:53Z,2025-11-04T11:07:53Z,No
GEM/2025/B/6722858,"Financial Audit Services - Review of Financial Statements, Quarterly eTDS Return filling in Form 24",1,Ministry of Skill Development and Entrepreneurship NA,2025-09-24T15:39:35Z,2025-09-24T15:39:35Z,No
GEM/2025/B/6643503,"EE5151D-1015D420-002 LIN P S,EE5151D-1015D590-003 SW P S,EE5151D-1020A080-002 MBM FRONT PANEL,EE515",90,Ministry of Defence Department of Military Affairs,2025-10-23T12:30:34Z,2025-10-23T12:30:34Z,No
GEM/2025/B/6619835,"N9515-P009757 DMR249A STEEL PLATES (THKXLXW) 14X8000TO 12500X1500TO2500MM,N9515-P009758 DMR249A STE",11,Ministry of Defence Department of Military Affairs,2025-10-13T17:23:58Z,2025-10-13T17:23:58Z,No
GEM/2025/B/6721137,"Design, Supply, Installation, Commissioning and Maintenance of Grid Connected Roof Top Solar Power ",1,"Electricity Department, Andaman & Nicobar",2025-11-03T16:30:18Z,2025-11-03T16:30:18Z,No
GEM/2025/B/6853191,"Foot Operated Pedal Bin or Bucket for Bio - Medical Waste Collection,Foot Operated Pedal Bin or Buc",10,Police Department Andaman & Nicobar,2025-11-04T10:17:25Z,2025-11-04T10:17:25Z,No
GEM/2025/B/6853098,"Quarternary Ammonium Compound Based Surface Cleaner, Liquid",100,Police Department Andaman & Nicobar,2025-11-04T10:15:32Z,2025-11-04T10:15:32Z,No
GEM/2025/B/6853162,"Dual Wireless Gooseneck Mic,XLR Female to Mono 2M,XLR Male to Mono Jack 2M,Mono to TRS 2M,Mono to T",23,Ministry of Defence Department of Military Affairs,2025-11-04T10:03:29Z,2025-11-04T10:03:29Z,No
GEM/2025/B/6853132,"Quarternary Ammonium Compound Based Surface Cleaner, Liquid",100,Police Department Andaman & Nicobar,2025-11-04T10:10:19Z,2025-11-04T10:10:19Z,No
GEM/2025/B/6775714,"Transportation of Fish Cage Components from NIOT, Chennai to ACOSTI, Sri Vijayapuram",2,Ministry of Earth Sciences Department of Earth Sciences,2025-10-14T09:31:32Z,2025-10-14T09:31:32Z,No
GEM/2025/B/6850124,Signage Board (V4),2,Rural Development & Panchayat Department Andaman,2025-11-03T16:12:25Z,2025-11-03T16:12:25Z,No
GEM/2025/B/6850845,MATTRESSES COIR,30,Ministry of Defence Department of Military Affairs,2025-11-03T15:54:38Z,2025-11-03T15:54:38Z,No
GEM/2025/B/6851986,"Foam Mattress (V3),Bed Sheets - Handicraft,Pillows - Synthetic",90,Ministry of Defence Department of Military Affairs,2025-11-03T17:10:12Z,2025-11-03T17:10:12Z,No
GEM/2025/B/6723054,Atta as per IS 1155,1800,"Social Welfare Department, Andaman & Nicobar",2025-10-13T12:27:24Z,2025-10-13T12:27:24Z,No
GEM/2025/B/6778856,RENEWAL OF ANNUAL AIRTIME SUBSCRIPTION FOR HSTS (HELITRACKER) (QTY-03),1,Ministry of Defence Department of Military Affairs,2025-11-06T10:44:12Z,2025-11-06T10:44:12Z,No
GEM/2025/B/6798627,"Pneumatic Tyres For Passenger Car Vehicles - Diagonal And Radial Ply Marked to IS 15633,Automotive ",7,Ministry of Defence Department of Military Affairs,2025-10-16T15:22:43Z,2025-10-16T15:22:43Z,No
GEM/2025/B/6744620,Radar Speed Display Board (V2),3,Ministry of Defence Department of Military Affairs,2025-11-06T11:42:19Z,2025-11-06T11:42:19Z,No
GEM/2025/B/6859574,"2060-2910-0128,NK-2849,NK000631,ID-337989,ME-016833X,ME-016864,MB-100248,NK000647,WT-49-23-570,W002",23,Ministry of Defence Department of Military Affairs,2025-11-06T11:59:05Z,2025-11-06T11:59:05Z,No
GEM/2025/B/6859503,"NK-1912,NK-1913,83550-198-900,144570,2590-024220,NK000130,NK-1506,6680-010749,LP-01-24-18,03013AA02",27,Ministry of Defence Department of Military Affairs,2025-11-06T11:56:25Z,2025-11-06T11:56:25Z,No
GEM/2025/B/6859395,"4010-004113,4010-004113,6240-001283,P-3101540,X-7423500,F-3131415,6240-001283,5330-395611,591683,P-",28,Ministry of Defence Department of Military Affairs,2025-11-06T11:54:24Z,2025-11-06T11:54:24Z,No
GEM/2025/B/6859308,"NK000714,9510-000084,9510-000257,9510-000270,9520-000001,3439-000013",641,Ministry of Defence Department of Military Affairs,2025-11-06T11:52:05Z,2025-11-06T11:52:05Z,No
GEM/2025/B/6859291,"NK000714,9510-000084,9510-000257,9510-000270,9520-000001,3439-000013",450,Ministry of Defence Department of Military Affairs,2025-11-06T11:49:14Z,2025-11-06T11:49:14Z,No
GEM/2025/B/6777790,Interactive Panels with CPU,1,Ministry of Home Affairs Women Safety Division,2025-10-27T10:16:14Z,2025-10-27T10:16:14Z,No
GEM/2025/B/6859485,Professional Painting Service - Denting & Painting of Flat Top; Denting & Painting of Flat Top; Veh,1,Ministry of Defence Department of Military Affairs,2025-11-06T10:11:22Z,2025-11-06T10:11:22Z,No
GEM/2025/B/6819222,Bus Hiring Service - Short Term - Local 24*7; 46-48; Semi Deluxe (SDX); 100,3,Rural Development & Panchayat Department Andaman,2025-10-31T18:45:15Z,2025-10-31T18:45:15Z,No
GEM/2025/B/6845563,Exchanger Heat (Part No-4963507,1,Ministry of Defence Department of Defence,2025-10-31T18:57:41Z,2025-10-31T18:57:41Z,No
GEM/2025/B/6851591,30 meter Chimney of 100 kg/ hour BMW Incinerator,1,Health Department Andaman & Nicobar,2025-11-06T08:17:10Z,2025-11-06T08:17:10Z,No
GEM/2025/B/6859281,Metal Rolling Shutters as per IS 6248,10,Rural Development & Panchayat Department Andaman,2025-11-06T09:25:34Z,2025-11-06T09:25:34Z,No
GEM/2025/B/6859349,"PREGABALIN 75 MG METHYLCOBALAMINE 1500 MCG TAB,NORADRENALINE BITARTRATE 2 MG ML, 2 ML INJ,LORAZEPAM",5805,Ministry of Defence Department of Military Affairs,2025-11-06T09:50:41Z,2025-11-06T09:50:41Z,No
GEM/2025/B/6641049,"Bunk Bed Mattress,Cotton Pillow",212,Health Department Andaman & Nicobar,2025-10-27T14:42:26Z,2025-10-27T14:42:26Z,No
GEM/2025/B/6859485,Professional Painting Service - Denting & Painting of Flat Top; Denting & Painting of Flat Top; Veh,1,Ministry of Defence Department of Military Affairs,2025-11-06T10:11:22Z,2025-11-06T10:11:22Z,No
GEM/2025/B/6856641,"NK001495,NK001485,NK001479,NK001481,NK001075,NK000130",23,Ministry of Defence Department of Military Affairs,2025-11-04T17:46:37Z,2025-11-04T17:46:37Z,No
GEM/2025/B/6856623,"Anti Cockroach Gel,Wire Connection Lugs,Oil and Grease Remover,Tape Transparent self adhesive cellu",334,Ministry of Defence Department of Defence,2025-11-04T18:01:33Z,2025-11-04T18:01:33Z,No
GEM/2025/B/6856814,"NK001791,NK0001486,NK012142,NK0012146,NK001480,NK001063",22,Ministry of Defence Department of Military Affairs,2025-11-04T18:25:35Z,2025-11-04T18:25:35Z,No
GEM/2025/B/6856772,"Anti cockroach gel,Oil and grease remover,Clip jubliee 3.5 to 0.5 X 0.875,Clip jubliee 2 inch 2.750",1370,Ministry of Defence Department of Defence,2025-11-04T18:26:41Z,2025-11-04T18:26:41Z,No
GEM/2025/B/6856877,"NK001059,NK001096,NK003120,NK001486,NK001487,NK001274",21,Ministry of Defence Department of Military Affairs,2025-11-04T18:37:23Z,2025-11-04T18:37:23Z,No
GEM/2025/B/6850909,"Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Manpower Outsourcing Servic",2,"Ministry of Ports, Shipping and Waterways NA",2025-11-04T19:11:54Z,2025-11-04T19:11:54Z,No
GEM/2025/B/6857044,Monthly Basis Cab & Taxi Hiring Services - MUV; 3000 Km x 364 hours; Outstation,1,Ministry of Environment Forest and Climate Change NA,2025-11-04T20:01:47Z,2025-11-04T20:01:47Z,No
GEM/2025/B/6857493,"TAB TOFACITINIB 5 MG,CAP TACROLIMUS 1.5 MG,UREA 10-12 PRECENT, LACTIC ACID 5-10 PERCENT CREAM OF 50",510,Ministry of Defence Department of Military Affairs,2025-11-05T10:59:06Z,2025-11-05T10:59:06Z,No
GEM/2025/B/6660838,PROCUREMENT OF AIR COMPRESSOR,1,Ministry of Defence Department of Military Affairs,2025-11-05T11:16:13Z,2025-11-05T11:16:13Z,No
GEM/2025/B/6725638,"EH8015D-502-10-043-21 PRESSURE SAFETY VALVE FOR CONDENSER RECEIVER,EH8015D 502-10 043-37 GLOBE VALV",1609,Ministry of Defence Department of Military Affairs,2025-10-21T17:47:16Z,2025-10-21T17:47:16Z,No
GEM/2025/B/6697418,"ER6150B-100200125070 SEAL RETAINER,ER6150B-100200125071 WICK LONG TAB,ER6150B-101014 SOLENOID VALVE",3457,Ministry of Defence Department of Military Affairs,2025-10-21T17:39:20Z,2025-10-21T17:39:20Z,No
GEM/2025/B/6697243,"EL3020B-IPMS101020501 ANALOG OUTPUT MODULE,EL3020B-IPMS101020601 VME IP CARRIER,EL3020B-IPMS1019J3Q",69,Ministry of Defence Department of Military Affairs,2025-10-13T10:49:54Z,2025-10-13T10:49:54Z,No
GEM/2025/B/6694942,"EK3080B-VEC-21 SIREN TYPHOON TYPE WITH SOLENOID VALVE WITH SPARES AND DOCUMENT,EK3080B-KA-75A209 DI",15,Ministry of Defence Department of Military Affairs,2025-10-13T10:37:36Z,2025-10-13T10:37:36Z,No
GEM/2025/B/6756709,Nutrient Supplement for Soil Fertility and Soil Health (Sericulture use only),1250,Agriculture Department Andaman & Nicobar,2025-10-28T10:25:21Z,2025-10-28T10:25:21Z,No
GEM/2025/B/6756645,Rhizobium Inocultants (Bio Fertilizer)-IS:8268,290,Agriculture Department Andaman & Nicobar,2025-10-28T10:12:10Z,2025-10-28T10:12:10Z,No
GEM/2025/B/6742417,"High beam rechargeable search light,High beam rechargeable torch light,Multipurpose rescue knife,He",215,Ministry of Defence Department of Military Affairs,2025-10-29T09:33:07Z,2025-10-29T09:33:07Z,No
GEM/2025/B/6834812,"Paper Cutter Large,Paper Cutter Blade Large,Black Metal Paper Clip Small,Black Metal Paper Clip Med",144,Ministry of Defence Department of Defence,2025-10-29T12:27:40Z,2025-10-29T12:27:40Z,No
GEM/2025/B/6838261,Mosquito Repellent (V2),300,Ministry of Skill Development and Entrepreneurship NA,2025-10-30T10:30:00Z,2025-10-30T10:30:00Z,No
GEM/2025/B/6838179,Toilet Brush (V3),400,Ministry of Skill Development and Entrepreneurship NA,2025-10-30T10:22:26Z,2025-10-30T10:22:26Z,No
GEM/2025/B/6838564,Stable Bleaching Powder for Household and Industrial use (V3) conforming to IS 1065 (Part 1),200,Ministry of Skill Development and Entrepreneurship NA,2025-10-30T11:09:46Z,2025-10-30T11:09:46Z,No
GEM/2025/B/6838868,"FPO - Moong Dal,Chicken Eggs,FPO - Rajma,FPO - Masoor Dal ,FPO - Soya Beans,FPO - Spices And Condim",20520,"Social Welfare Department, Andaman & Nicobar",2025-10-30T12:16:20Z,2025-10-30T12:16:20Z,No
GEM/2025/B/6839262,"NK000611,NK001059,NK001075,NK000887,NK001010,NK000883,NK001019",16,Ministry of Defence Department of Military Affairs,2025-10-30T12:40:10Z,2025-10-30T12:40:10Z,No
GEM/2025/B/6839093,"NK000325,NK001056,NK001075,NK000326,NK001012,NK000611",19,Ministry of Defence Department of Military Affairs,2025-10-30T12:11:18Z,2025-10-30T12:11:18Z,No
GEM/2025/B/6836716,"Urinal Cubes - Deodorizer Block (V2),Toilet Cleaner Liquid  (V3)  conforming to IS 7983,Quarternary",3650,Ministry of Skill Development and Entrepreneurship NA,2025-10-29T17:22:30Z,2025-10-29T17:22:30Z,No
GEM/2025/B/6832498,Entry and Mid Level Desktop Computer,12,"Cooperative Department, Andaman & Nicobar",2025-10-29T17:59:37Z,2025-10-29T17:59:37Z,No
