Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6851820,Sofa (V3),1,Comptroller and Auditor General (CAG) of India Indian Audit and Accounts Department,2025-11-03T16:44:24Z,2025-11-03T16:44:24Z,No
GEM/2025/B/6803473,USB Type External Hard Disk Drive (V2),29,Ministry of Railways Indian Railways,2025-10-17T16:00:54Z,2025-10-17T16:00:54Z,No
GEM/2025/B/6851670,Operation And Maintenance Of Other Machines And Plants - Providing Necessary Assistance in Routine ,1,PMO Department of Atomic Energy,2025-11-03T16:50:31Z,2025-11-03T16:50:31Z,No
GEM/2025/B/6850628,Steel Almirah / Cabinets conforming to IS 3312 (V4),3,Ministry of Railways Indian Railways,2025-11-03T16:50:23Z,2025-11-03T16:50:23Z,No
GEM/2025/B/6738588,Dual Energy X-Ray Absorptiometry (DEXA),1,Ministry of Health and Family Welfare Department of Health Research,2025-10-03T13:02:45Z,2025-10-03T13:02:45Z,No
GEM/2025/B/6684201,"Photo Receiver,CW Laser Source,Match Zehnder Modulator,90 Degree Optical Hybrid,Optical Power split",21,Ministry of Defence Department of Defence Research & Development,2025-10-06T13:09:31Z,2025-10-06T13:09:31Z,No
GEM/2025/B/6851803,SITC OF 2X30 TON FLAME PROOF EOT CRANE TANDEM OPERATION,1,Ministry of Defence Department of Defence Production,2025-11-04T09:36:08Z,2025-11-04T09:36:08Z,No
GEM/2025/B/6849279,Supply of Visible Spacer_ Regularisation,400,Ministry of Defence Department of Defence Production,2025-11-03T18:30:28Z,2025-11-03T18:30:28Z,No
GEM/2025/B/6832045,Soil Auger,5392,Ministry of Defence Department of Military Affairs,2025-11-03T20:37:19Z,2025-11-03T20:37:19Z,No
GEM/2025/B/6851576,Camera for CCTV System (V3),50,Ministry of Education Department of School Education and Literacy,2025-11-03T17:05:48Z,2025-11-03T17:05:48Z,No
GEM/2025/B/6852164,"Supplying and fixing of Wireless Conference Microphone Controller,Supplying and fixing of Wireless ",103,Ministry of Communications Department of Telecommunications (DOT),2025-11-03T17:43:14Z,2025-11-03T17:43:14Z,No
GEM/2025/B/6854291,"Bearing Frt Wheel,Hose Radiator,Joint Assy Universal,Pipe Brake No 2,Relay Assy,Spark Plug Campion ",48,Ministry of Defence Department of Military Affairs,2025-11-04T12:25:36Z,2025-11-04T12:25:36Z,No
GEM/2025/B/6854412,"Presenter PTZ Tracking Camera,PTZ Camera,Wall mount for cameras,Recorder and Streaming device,Captu",70,Ministry of Finance Department of Revenue,2025-11-04T12:46:04Z,2025-11-04T12:46:04Z,No
GEM/2025/B/6854155,"SUPPLY AND INSTALLATION OF 14 TON MOBILE CRANE 1 NO. AT BEML, DIST OFFICE, RAMAGUNDAM.,SUPPLY AND I",2,Ministry of Defence Department of Defence Production,2025-11-04T12:58:47Z,2025-11-04T12:58:47Z,No
GEM/2025/B/6842666,Plain Copier Paper (V3) ISI Marked to IS 14490,480,Ministry of Defence Department of Defence Research & Development,2025-11-04T12:57:27Z,2025-11-04T12:57:27Z,No
GEM/2025/B/6788980,Illuminated Stand Magnifier,20,Ministry of Defence Department of Defence Research & Development,2025-11-04T12:47:49Z,2025-11-04T12:47:49Z,No
GEM/2025/B/6741064,RO Water Plant for Hemodialysis,3,Ministry of Railways Railways Public Sector Undertakings,2025-11-04T12:51:17Z,2025-11-04T12:51:17Z,No
GEM/2025/B/6852374,"Annual Maintenance Service - Desktops,  Laptops and Peripherals - UPS (Online 10 KVA); Emerson",1,Ministry of Commerce and Industry Department of Commerce,2025-11-04T10:41:07Z,2025-11-04T10:41:07Z,No
